日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2015/4/17,台北二,芒果 愛文,131.7 ,80.8 ,51.1 ,85.0 ,"2,519 "
2015/4/18,台北二,芒果 愛文,141.7 ,81.0 ,43.0 ,85.5 ,"4,605 "
2015/4/19,台北二,芒果 愛文,120.0 ,64.8 ,39.3 ,70.7 ,"6,402 "
2015/4/21,台北二,芒果 愛文,88.2 ,52.5 ,37.6 ,56.7 ,"9,519 "
2015/4/22,台北二,芒果 愛文,91.8 ,50.9 ,31.0 ,55.1 ,"5,207 "
2015/4/23,台北二,芒果 愛文,85.4 ,48.9 ,31.1 ,52.6 ,"6,423 "
2015/4/24,台北二,芒果 愛文,91.0 ,46.9 ,28.6 ,52.0 ,"4,547 "
2015/4/25,台北二,芒果 愛文,113.7 ,58.5 ,32.3 ,64.3 ,"5,496 "
2015/4/26,台北二,芒果 愛文,109.5 ,61.2 ,27.7 ,64.1 ,"5,392 "
2015/4/28,台北二,芒果 愛文,118.3 ,68.8 ,40.2 ,73.0 ,"8,992 "
2015/4/29,台北二,芒果 愛文,101.6 ,61.6 ,37.6 ,64.8 ,"6,620 "
2015/4/30,台北二,芒果 愛文,106.9 ,61.0 ,36.1 ,65.2 ,"8,318 "
2015/5/1,台北二,芒果 愛文,112.8 ,66.7 ,39.0 ,70.3 ,"10,252 "
2015/5/2,台北二,芒果 愛文,114.3 ,68.0 ,41.2 ,71.9 ,"12,381 "
2015/5/3,台北二,芒果 愛文,121.1 ,72.9 ,41.8 ,76.3 ,"11,955 "
2015/5/5,台北二,芒果 愛文,115.6 ,62.0 ,37.1 ,67.7 ,"14,579 "
2015/5/6,台北二,芒果 愛文,102.5 ,61.3 ,38.5 ,65.0 ,"8,573 "
2015/5/7,台北二,芒果 愛文,94.6 ,56.5 ,24.8 ,57.8 ,"12,086 "
2015/5/8,台北二,芒果 愛文,108.4 ,63.8 ,34.2 ,66.8 ,"11,179 "
2015/5/9,台北二,芒果 愛文,116.4 ,66.3 ,39.9 ,71.0 ,"12,324 "
2015/5/10,台北二,芒果 愛文,106.9 ,65.0 ,39.8 ,68.3 ,"14,960 "
2015/5/12,台北二,芒果 愛文,99.8 ,57.2 ,31.6 ,60.6 ,"21,416 "
2015/5/13,台北二,芒果 愛文,94.7 ,57.0 ,32.8 ,59.7 ,"16,318 "
2015/5/14,台北二,芒果 愛文,98.9 ,53.6 ,33.0 ,58.6 ,"12,417 "
2015/5/15,台北二,芒果 愛文,106.6 ,63.9 ,38.7 ,67.4 ,"9,225 "
2015/5/16,台北二,芒果 愛文,122.5 ,75.5 ,44.9 ,78.8 ,"13,099 "
2015/5/17,台北二,芒果 愛文,130.8 ,80.2 ,47.3 ,83.8 ,"18,565 "
2015/5/19,台北二,芒果 愛文,112.4 ,69.8 ,41.1 ,72.6 ,"26,188 "
2015/5/20,台北二,芒果 愛文,96.5 ,57.6 ,35.2 ,60.9 ,"20,108 "
2015/5/21,台北二,芒果 愛文,77.3 ,43.8 ,25.5 ,46.9 ,"20,514 "
2015/5/22,台北二,芒果 愛文,93.6 ,55.4 ,27.3 ,57.4 ,"19,519 "
2015/5/23,台北二,芒果 愛文,97.5 ,59.0 ,35.3 ,61.9 ,"17,189 "
2015/5/24,台北二,芒果 愛文,94.8 ,61.6 ,34.1 ,62.7 ,"17,503 "
2015/5/26,台北二,芒果 愛文,91.7 ,60.4 ,37.1 ,62.0 ,"25,592 "
2015/5/27,台北二,芒果 愛文,85.2 ,54.4 ,31.4 ,55.9 ,"19,856 "
2015/5/28,台北二,芒果 愛文,90.5 ,54.6 ,29.6 ,56.8 ,"24,725 "
2015/5/29,台北二,芒果 愛文,90.3 ,53.5 ,28.1 ,55.8 ,"27,956 "
2015/5/30,台北二,芒果 愛文,93.1 ,57.9 ,31.0 ,59.6 ,"39,063 "
2015/5/31,台北二,芒果 愛文,78.3 ,47.0 ,26.5 ,49.1 ,"60,038 "
2015/6/2,台北二,芒果 愛文,62.9 ,38.4 ,22.0 ,40.0 ,"72,940 "
2015/6/3,台北二,芒果 愛文,58.9 ,35.3 ,20.4 ,37.0 ,"40,645 "
2015/6/4,台北二,芒果 愛文,58.9 ,35.8 ,19.5 ,37.1 ,"35,769 "
2015/6/5,台北二,芒果 愛文,61.7 ,36.9 ,21.0 ,38.7 ,"35,631 "
2015/6/6,台北二,芒果 愛文,61.6 ,38.1 ,21.0 ,39.4 ,"45,461 "
2015/6/7,台北二,芒果 愛文,57.8 ,34.7 ,20.1 ,36.4 ,"47,374 "
2015/6/9,台北二,芒果 愛文,59.0 ,34.0 ,19.9 ,36.2 ,"57,648 "
2015/6/10,台北二,芒果 愛文,62.9 ,36.5 ,21.7 ,38.9 ,"34,133 "
2015/6/11,台北二,芒果 愛文,65.7 ,37.1 ,20.3 ,39.5 ,"35,810 "
2015/6/12,台北二,芒果 愛文,65.5 ,38.9 ,21.6 ,40.8 ,"35,868 "
2015/6/13,台北二,芒果 愛文,67.1 ,39.4 ,24.5 ,41.9 ,"45,539 "
2015/6/14,台北二,芒果 愛文,65.7 ,40.0 ,23.7 ,41.9 ,"47,753 "
2015/6/16,台北二,芒果 愛文,59.2 ,35.1 ,22.8 ,37.5 ,"72,376 "
2015/6/17,台北二,芒果 愛文,64.8 ,37.2 ,19.7 ,39.2 ,"42,920 "
2015/6/18,台北二,芒果 愛文,71.4 ,41.2 ,22.1 ,43.4 ,"40,211 "
2015/6/19,台北二,芒果 愛文,72.0 ,44.7 ,24.3 ,46.1 ,"43,901 "
2015/6/20,台北二,芒果 愛文,63.7 ,42.4 ,23.3 ,42.8 ,"50,838 "
2015/6/23,台北二,芒果 愛文,45.2 ,24.2 ,12.9 ,26.1 ,"85,754 "
2015/6/24,台北二,芒果 愛文,46.7 ,25.6 ,16.5 ,28.0 ,"57,793 "
2015/6/25,台北二,芒果 愛文,45.8 ,27.2 ,15.1 ,28.5 ,"52,379 "
2015/6/26,台北二,芒果 愛文,43.1 ,26.8 ,12.8 ,27.3 ,"49,320 "
2015/6/27,台北二,芒果 愛文,48.2 ,30.1 ,17.4 ,31.2 ,"43,780 "
2015/6/28,台北二,芒果 愛文,49.3 ,32.8 ,20.7 ,33.7 ,"51,788 "
2015/6/30,台北二,芒果 愛文,47.3 ,30.2 ,18.0 ,31.2 ,"59,399 "
2015/7/1,台北二,芒果 愛文,47.6 ,30.6 ,20.3 ,32.0 ,"44,545 "
2015/7/2,台北二,芒果 愛文,43.1 ,27.0 ,16.7 ,28.1 ,"45,618 "
2015/7/3,台北二,芒果 愛文,44.6 ,26.7 ,16.7 ,28.3 ,"40,341 "
2015/7/4,台北二,芒果 愛文,46.2 ,29.5 ,16.3 ,30.2 ,"32,860 "
2015/7/5,台北二,芒果 愛文,47.3 ,33.7 ,18.5 ,33.4 ,"30,852 "
2015/7/7,台北二,芒果 愛文,50.1 ,32.2 ,18.9 ,33.1 ,"38,069 "
2015/7/8,台北二,芒果 愛文,52.6 ,34.7 ,23.9 ,36.1 ,"23,100 "
2015/7/9,台北二,芒果 愛文,56.9 ,37.8 ,27.7 ,39.6 ,"28,303 "
2015/7/10,台北二,芒果 愛文,45.3 ,31.2 ,20.7 ,31.9 ,"41,631 "
2015/7/11,台北二,芒果 愛文,40.1 ,28.3 ,19.6 ,28.9 ,"52,354 "
2015/7/12,台北二,芒果 愛文,39.4 ,27.7 ,18.8 ,28.2 ,"57,809 "
2015/7/14,台北二,芒果 愛文,41.5 ,27.7 ,16.3 ,28.2 ,"52,185 "
2015/7/15,台北二,芒果 愛文,55.8 ,38.2 ,21.1 ,38.3 ,"24,577 "
2015/7/16,台北二,芒果 愛文,53.4 ,38.8 ,23.5 ,38.7 ,"22,836 "
2015/7/17,台北二,芒果 愛文,58.3 ,40.4 ,22.6 ,40.4 ,"21,356 "
2015/7/18,台北二,芒果 愛文,60.1 ,41.8 ,21.7 ,41.4 ,"23,416 "
2015/7/19,台北二,芒果 愛文,56.5 ,41.4 ,25.6 ,41.2 ,"21,914 "
2015/7/21,台北二,芒果 愛文,56.1 ,38.2 ,21.1 ,38.4 ,"23,483 "
2015/7/22,台北二,芒果 愛文,61.1 ,43.0 ,25.8 ,43.2 ,"13,971 "
2015/7/23,台北二,芒果 愛文,56.4 ,39.7 ,22.6 ,39.6 ,"21,654 "
2015/7/24,台北二,芒果 愛文,60.7 ,40.3 ,21.4 ,40.6 ,"15,514 "
2015/7/25,台北二,芒果 愛文,65.3 ,43.3 ,24.2 ,43.9 ,"22,749 "
2015/7/26,台北二,芒果 愛文,62.9 ,39.0 ,21.1 ,40.2 ,"25,669 "
2015/7/28,台北二,芒果 愛文,64.7 ,41.5 ,22.0 ,42.2 ,"31,061 "
2015/7/29,台北二,芒果 愛文,64.8 ,35.0 ,22.7 ,38.5 ,"25,979 "
2015/7/30,台北二,芒果 愛文,75.4 ,41.9 ,25.3 ,45.3 ,"19,753 "
2015/7/31,台北二,芒果 愛文,76.4 ,44.5 ,23.9 ,46.8 ,"14,821 "
2015/8/1,台北二,芒果 愛文,86.1 ,47.4 ,27.3 ,51.1 ,"16,373 "
2015/8/2,台北二,芒果 愛文,74.1 ,44.3 ,26.2 ,46.6 ,"23,423 "
2015/8/4,台北二,芒果 愛文,73.1 ,40.9 ,23.9 ,43.9 ,"29,467 "
2015/8/5,台北二,芒果 愛文,68.0 ,35.6 ,22.0 ,39.4 ,"19,860 "
2015/8/6,台北二,芒果 愛文,67.6 ,33.0 ,21.2 ,37.6 ,"21,104 "
2015/8/7,台北二,芒果 愛文,66.9 ,36.8 ,22.6 ,40.0 ,"15,891 "
2015/8/8,台北二,芒果 愛文,71.7 ,34.5 ,18.9 ,38.8 ,"9,816 "
2015/8/9,台北二,芒果 愛文,59.0 ,35.2 ,21.4 ,37.2 ,"14,877 "
2015/8/11,台北二,芒果 愛文,73.5 ,34.7 ,18.8 ,39.3 ,"18,814 "
2015/8/12,台北二,芒果 愛文,75.9 ,40.4 ,25.1 ,44.4 ,"12,452 "
2015/8/13,台北二,芒果 愛文,75.6 ,46.0 ,25.3 ,47.8 ,"16,954 "
2015/8/14,台北二,芒果 愛文,74.8 ,42.8 ,26.3 ,45.9 ,"20,080 "
2015/8/15,台北二,芒果 愛文,78.0 ,44.4 ,22.9 ,46.8 ,"15,129 "
2015/8/16,台北二,芒果 愛文,82.8 ,45.8 ,23.5 ,48.7 ,"14,727 "
2015/8/18,台北二,芒果 愛文,74.5 ,33.5 ,20.8 ,39.1 ,"21,176 "
2015/8/19,台北二,芒果 愛文,82.2 ,44.0 ,22.6 ,47.4 ,"10,727 "
2015/8/20,台北二,芒果 愛文,85.2 ,45.3 ,26.9 ,49.6 ,"11,071 "
2015/8/21,台北二,芒果 愛文,86.4 ,48.7 ,21.6 ,50.8 ,"9,342 "
2015/8/22,台北二,芒果 愛文,98.8 ,52.5 ,29.6 ,57.2 ,"11,108 "
2015/8/23,台北二,芒果 愛文,113.6 ,55.3 ,30.8 ,62.1 ,"8,035 "
2015/8/25,台北二,芒果 愛文,129.7 ,71.1 ,21.7 ,73.0 ,"7,490 "
2015/8/26,台北二,芒果 愛文,109.9 ,75.4 ,32.4 ,73.7 ,"7,499 "
2015/8/27,台北二,芒果 愛文,111.1 ,82.0 ,42.5 ,79.9 ,"8,726 "
2015/8/28,台北二,芒果 愛文,120.3 ,80.5 ,42.5 ,80.8 ,"9,548 "
2015/9/1,台北二,芒果 愛文,157.7 ,98.7 ,38.7 ,98.5 ,"3,270 "
2015/9/2,台北二,芒果 愛文,187.8 ,68.3 ,33.7 ,85.3 ,790 
2015/9/3,台北二,芒果 愛文,180.6 ,73.5 ,48.0 ,89.8 ,642 
2015/9/4,台北二,芒果 愛文,227.8 ,159.6 ,60.7 ,153.5 ,328 
2015/9/5,台北二,芒果 愛文,141.1 ,67.2 ,38.6 ,76.2 ,"2,042 "
2015/9/6,台北二,芒果 愛文,226.9 ,153.2 ,106.7 ,158.7 ,381 
