日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2014/5/11,台北二,芒果 金煌,87.4,62.9,27.2,60.7,"2,106"
2014/5/13,台北二,芒果 金煌,89.3,50.8,28.9,54.1,"2,055"
2014/5/14,台北二,芒果 金煌,94.6,61.2,35.1,62.6,"1,269"
2014/5/15,台北二,芒果 金煌,91.2,60.5,32.9,61.1,906
2014/5/16,台北二,芒果 金煌,84.4,59.5,33.5,59.3,"1,791"
2014/5/17,台北二,芒果 金煌,81.3,55.2,31,55.6,"1,967"
2014/5/18,台北二,芒果 金煌,75.5,49.1,24,49.3,"2,428"
2014/5/20,台北二,芒果 金煌,72.3,37.8,20.8,41.3,"2,974"
2014/5/21,台北二,芒果 金煌,65.8,31.6,14.9,35.1,"2,631"
2014/5/22,台北二,芒果 金煌,68,37.1,16.9,39.2,"2,886"
2014/5/23,台北二,芒果 金煌,64,37.8,18.8,39.3,"2,531"
2014/5/24,台北二,芒果 金煌,68.8,42.5,17.2,42.7,"2,859"
2014/5/25,台北二,芒果 金煌,81.6,44.9,24.3,48.1,"2,255"
2014/5/27,台北二,芒果 金煌,70.1,41.9,21.1,43.4,"4,910"
2014/5/28,台北二,芒果 金煌,66,39.4,16.6,40.1,"5,751"
2014/5/29,台北二,芒果 金煌,55.8,32.6,17.2,34.2,"4,471"
2014/5/30,台北二,芒果 金煌,61.1,36.6,15.3,37.2,"3,620"
2014/5/31,台北二,芒果 金煌,58.5,33,13,34.1,"4,118"
2014/6/1,台北二,芒果 金煌,59.7,38.6,15.5,38.2,"3,384"
2014/6/2,台北二,芒果 金煌,59.8,42.3,18.8,41.1,"2,850"
2014/6/5,台北二,芒果 金煌,61.3,35.5,16.1,36.8,"4,381"
2014/6/6,台北二,芒果 金煌,57.5,32.7,15,34.1,"4,136"
2014/6/7,台北二,芒果 金煌,53.7,37.9,16.1,36.7,"3,500"
2014/6/8,台北二,芒果 金煌,56.2,32.7,16.1,34.1,"2,932"
2014/6/10,台北二,芒果 金煌,58,39.2,16.1,38.3,"4,449"
2014/6/11,台北二,芒果 金煌,50.4,33.4,16.8,33.5,"7,219"
2014/6/12,台北二,芒果 金煌,49,28.7,13.8,29.8,"4,563"
2014/6/13,台北二,芒果 金煌,54.5,27.2,12.2,29.6,"3,373"
2014/6/14,台北二,芒果 金煌,53.3,28.1,12.6,30,"4,115"
2014/6/15,台北二,芒果 金煌,50.8,32.3,16.4,32.8,"4,200"
2014/6/17,台北二,芒果 金煌,50.1,25.7,16.3,28.7,"5,423"
2014/6/18,台北二,芒果 金煌,42.9,30.7,21.8,31.4,"3,121"
2014/6/19,台北二,芒果 金煌,45.3,27.2,15.8,28.5,"5,197"
2014/6/20,台北二,芒果 金煌,42.2,26.7,14.9,27.4,"4,577"
2014/6/21,台北二,芒果 金煌,38,23.8,11.8,24.2,"4,675"
2014/6/22,台北二,芒果 金煌,36.4,23.4,13.5,24,"5,087"
2014/6/24,台北二,芒果 金煌,36.2,23.7,14.8,24.4,"6,472"
2014/6/25,台北二,芒果 金煌,38.5,30.3,17.1,29.3,"5,032"
2014/6/26,台北二,芒果 金煌,39.9,32.6,19.4,31.4,"5,591"
2014/6/27,台北二,芒果 金煌,44.9,34,20.7,33.5,"5,109"
2014/6/28,台北二,芒果 金煌,48.6,35.3,19.2,34.7,"5,238"
2014/6/29,台北二,芒果 金煌,45.6,32.2,19,32.2,"5,381"
2014/7/1,台北二,芒果 金煌,40.9,31.7,19.1,31,"6,130"
2014/7/2,台北二,芒果 金煌,36.4,27.6,17.6,27.3,"5,693"
2014/7/3,台北二,芒果 金煌,36.9,26.9,19.4,27.4,"5,641"
2014/7/4,台北二,芒果 金煌,36.6,27.3,16.9,27.1,"4,404"
2014/7/5,台北二,芒果 金煌,37.1,26.9,15.4,26.6,"5,398"
2014/7/6,台北二,芒果 金煌,37.8,27.4,18.9,27.8,"5,142"
2014/7/8,台北二,芒果 金煌,38.2,27.9,19,28.2,"6,091"
2014/7/9,台北二,芒果 金煌,38.9,30,16.3,29.1,"8,153"
2014/7/10,台北二,芒果 金煌,37.8,30.4,17.3,29.3,"8,008"
2014/7/11,台北二,芒果 金煌,37.8,30.1,17.5,29.1,"8,301"
2014/7/12,台北二,芒果 金煌,37.9,29.2,19.3,29,"6,157"
2014/7/13,台北二,芒果 金煌,40.9,31.9,15.3,30.4,"4,955"
2014/7/15,台北二,芒果 金煌,46,35.3,20.3,34.4,"4,651"
2014/7/16,台北二,芒果 金煌,44.7,34.9,23.5,34.6,"5,104"
2014/7/17,台北二,芒果 金煌,36.7,28.5,20.2,28.5,"6,694"
2014/7/18,台北二,芒果 金煌,33.6,28.4,14.6,26.7,"5,210"
2014/7/19,台北二,芒果 金煌,37.7,29.2,10.8,27.2,"4,878"
2014/7/20,台北二,芒果 金煌,42,30.1,21,30.7,"4,125"
2014/7/22,台北二,芒果 金煌,41.3,32.3,21.3,31.9,"6,706"
2014/7/23,台北二,芒果 金煌,39.4,25.3,13,25.6,"7,306"
2014/7/24,台北二,芒果 金煌,41.1,32.1,21.7,31.8,"6,116"
2014/7/25,台北二,芒果 金煌,43.8,33.9,19.1,32.9,"5,966"
2014/7/26,台北二,芒果 金煌,54.5,37,20.3,37.2,"4,319"
2014/7/27,台北二,芒果 金煌,49.6,31.9,19.7,33,"6,283"
2014/7/29,台北二,芒果 金煌,47.4,33.6,19.9,33.6,"6,358"
2014/7/30,台北二,芒果 金煌,50.9,37.8,21.5,37.2,"3,853"
2014/7/31,台北二,芒果 金煌,50.2,32.3,16.3,32.7,"4,446"
2014/8/1,台北二,芒果 金煌,45.8,32.3,18.8,32.3,"5,281"
2014/8/2,台北二,芒果 金煌,52.1,36,18.5,35.7,"5,490"
2014/8/3,台北二,芒果 金煌,51.1,33,12.9,32.6,"6,010"
2014/8/5,台北二,芒果 金煌,53.1,40,19.5,38.5,"5,067"
2014/8/6,台北二,芒果 金煌,49.3,39.9,20.4,37.9,"4,710"
2014/8/7,台北二,芒果 金煌,54,41.1,23.7,40.2,"5,423"
2014/8/8,台北二,芒果 金煌,58.7,47.3,29.6,46,"3,829"
2014/8/9,台北二,芒果 金煌,55.2,42.4,26,41.7,"7,567"
2014/8/10,台北二,芒果 金煌,69,44.6,28.4,46.2,"2,687"
2014/8/13,台北二,芒果 金煌,63.3,41,22.2,41.7,"2,050"
2014/8/14,台北二,芒果 金煌,66.2,52.9,29,50.8,"1,589"
2014/8/15,台北二,芒果 金煌,61.4,41.7,20.8,41.5,"2,340"
2014/8/16,台北二,芒果 金煌,76.1,57.8,33.5,56.6,828
2014/8/17,台北二,芒果 金煌,60.1,38.4,21.1,39.3,"3,121"
2014/8/19,台北二,芒果 金煌,53.3,32.1,20.5,34,"3,520"
2014/8/20,台北二,芒果 金煌,59.6,40.1,12,38.4,"1,760"
2014/8/21,台北二,芒果 金煌,58.5,32.7,15.9,34.5,"1,951"
2014/8/22,台北二,芒果 金煌,70.4,49.1,28.9,49.3,"1,138"
2014/8/23,台北二,芒果 金煌,71.2,33.1,9.6,36,"2,399"
2014/8/24,台北二,芒果 金煌,53.8,35,24.7,36.7,456
2014/8/26,台北二,芒果 金煌,63.9,37.2,22.9,39.7,739
2014/8/27,台北二,芒果 金煌,37,30.8,26.2,31.1,315
2014/8/28,台北二,芒果 金煌,29.7,26.2,19.5,25.5,471
2014/8/29,台北二,芒果 金煌,30,22.3,22,23.8,31
2014/8/30,台北二,芒果 金煌,25,23.5,20,23.1,128
2014/8/31,台北二,芒果 金煌,27.4,24.2,22,24.4,133
2015/4/1,台北二,芒果 金煌,85,80,75,80,120
2015/4/2,台北二,芒果 金煌,75.7,56.7,33.9,55.9,817
2015/4/3,台北二,芒果 金煌,67.5,41.3,25.2,43.3,681
2015/4/4,台北二,芒果 金煌,87.9,58.2,39.5,60.4,207
2015/4/7,台北二,芒果 金煌,65.3,39.6,30,42.8,87
2015/4/9,台北二,芒果 金煌,65.8,43,28.4,44.6,304
2015/4/10,台北二,芒果 金煌,85.8,62.4,27.2,60.1,205
2015/4/11,台北二,芒果 金煌,96.9,79.6,44,76,252
2015/4/12,台北二,芒果 金煌,61.6,52.5,34.2,50.7,182
2015/4/14,台北二,芒果 金煌,46.1,37.4,27.9,37.2,506
2015/4/15,台北二,芒果 金煌,44.5,35.4,26.4,35.4,108
2015/4/16,台北二,芒果 金煌,70.6,34.6,30.3,41,360
2015/4/17,台北二,芒果 金煌,80,54,30,54.4,59
2015/4/18,台北二,芒果 金煌,118.3,65.9,44,72,604
2015/4/19,台北二,芒果 金煌,97.7,49.4,24,54,440
2015/4/21,台北二,芒果 金煌,54.6,33.9,28.7,37,373
2015/4/22,台北二,芒果 金煌,67.8,42.8,27.1,44.7,110
2015/4/23,台北二,芒果 金煌,50,39.4,25.2,38.7,318
2015/4/24,台北二,芒果 金煌,43,32.6,20.9,32.4,244
2015/4/25,台北二,芒果 金煌,75.6,52.3,28.3,52.1,438
2015/4/26,台北二,芒果 金煌,89.1,66.3,28,63.2,694
2015/4/28,台北二,芒果 金煌,102.1,58.3,28.3,61,858
2015/4/29,台北二,芒果 金煌,90,62.2,30,61.3,"1,277"
2015/4/30,台北二,芒果 金煌,90,72.8,51,71.9,"1,672"
2015/5/1,台北二,芒果 金煌,95.6,75.3,45.8,73.5,"1,047"
2015/5/2,台北二,芒果 金煌,94.1,57.3,29.4,59.1,"1,994"
2015/5/3,台北二,芒果 金煌,92.9,64.1,34.7,64,"1,296"
2015/5/5,台北二,芒果 金煌,87,64,32.7,62.4,"1,411"
2015/5/6,台北二,芒果 金煌,85,75.2,44.9,71.1,918
2015/5/7,台北二,芒果 金煌,84,61.1,30.6,59.6,"1,131"
2015/5/8,台北二,芒果 金煌,83.9,53.5,23.8,53.7,"1,221"
2015/5/9,台北二,芒果 金煌,90,51.8,24.4,54,"1,819"
2015/5/10,台北二,芒果 金煌,92.4,60.9,23,59.6,"1,056"
2015/5/12,台北二,芒果 金煌,85.6,57.9,33.4,58.6,"1,201"
2015/5/13,台北二,芒果 金煌,71.5,49.1,19.4,47.6,"1,063"
2015/5/14,台北二,芒果 金煌,77.5,53.9,23.7,52.6,"1,488"
2015/5/15,台北二,芒果 金煌,78,59.5,30.1,57.3,"1,238"
2015/5/16,台北二,芒果 金煌,81.5,43.1,26.7,47.5,"1,982"
2015/5/17,台北二,芒果 金煌,90.7,48.4,28.2,52.8,"1,923"
2015/5/19,台北二,芒果 金煌,84.9,36.7,22.2,43.4,"2,288"
2015/5/20,台北二,芒果 金煌,82,37.9,13.5,41.8,"1,442"
2015/5/21,台北二,芒果 金煌,60.9,35.4,20.9,37.6,"1,404"
2015/5/22,台北二,芒果 金煌,47.3,27.1,18.6,29.4,"2,116"
2015/5/23,台北二,芒果 金煌,65.2,28.6,15.3,33.3,"3,230"
2015/5/24,台北二,芒果 金煌,65.4,28.8,15.7,33.5,"3,560"
2015/5/26,台北二,芒果 金煌,71.7,36.1,15,39,"2,718"
2015/5/27,台北二,芒果 金煌,69.2,37.4,17.2,39.7,"2,876"
2015/5/28,台北二,芒果 金煌,71.3,47.2,19.5,46.5,"2,229"
2015/5/29,台北二,芒果 金煌,76.5,42.5,17.4,44.3,"2,298"
2015/5/30,台北二,芒果 金煌,64.5,28.6,17.1,33.5,"3,338"
2015/5/31,台北二,芒果 金煌,73.4,29.5,13.6,35,"5,772"
2015/6/2,台北二,芒果 金煌,69.9,31,11,34.8,"5,393"
2015/6/3,台北二,芒果 金煌,55.6,26.3,10.9,29.1,"4,415"
2015/6/4,台北二,芒果 金煌,41.5,21.1,11.2,23.2,"4,540"
2015/6/5,台北二,芒果 金煌,51.6,25.2,9.7,27.4,"3,563"
2015/6/6,台北二,芒果 金煌,50.1,20.3,10.3,24.3,"4,984"
2015/6/7,台北二,芒果 金煌,43.1,23.6,9.8,24.8,"5,447"
2015/6/9,台北二,芒果 金煌,45.2,19.5,9.5,22.6,"5,126"
2015/6/10,台北二,芒果 金煌,50.3,29.7,13.3,30.5,"4,057"
2015/6/11,台北二,芒果 金煌,37.5,25.2,13.8,25.4,"4,450"
2015/6/12,台北二,芒果 金煌,39.6,27.6,14.2,27.3,"4,436"
2015/6/13,台北二,芒果 金煌,40.5,23.9,13.2,25.1,"5,093"
2015/6/14,台北二,芒果 金煌,45.5,26.5,16.6,28.3,"6,326"
2015/6/16,台北二,芒果 金煌,40.3,25.1,12.3,25.6,"7,145"
2015/6/17,台北二,芒果 金煌,38.5,23.4,11.9,24.1,"7,036"
2015/6/18,台北二,芒果 金煌,39.6,25.6,16.1,26.5,"6,983"
2015/6/19,台北二,芒果 金煌,41.3,26.9,12.2,26.8,"7,914"
2015/6/20,台北二,芒果 金煌,38.9,22.1,12.6,23.6,"9,258"
2015/6/23,台北二,芒果 金煌,34.7,22,11.3,22.4,"7,149"
2015/6/24,台北二,芒果 金煌,30.1,19.6,10.2,19.8,"6,570"
2015/6/25,台北二,芒果 金煌,29.1,18.8,9.3,19,"7,243"
2015/6/26,台北二,芒果 金煌,27.9,17.7,8.2,17.8,"7,577"
2015/6/27,台北二,芒果 金煌,33.1,20.3,9.9,20.8,"9,271"
2015/6/28,台北二,芒果 金煌,31,22.2,13.7,22.3,"11,603"
2015/6/30,台北二,芒果 金煌,32.1,18.4,9.6,19.4,"7,920"
2015/7/1,台北二,芒果 金煌,32.3,21.2,12.1,21.6,"5,628"
2015/7/2,台北二,芒果 金煌,28.7,18.6,12.5,19.4,"5,254"
2015/7/3,台北二,芒果 金煌,29.9,21.6,11.4,21.2,"6,497"
2015/7/4,台北二,芒果 金煌,27,18.8,10.7,18.8,"10,372"
2015/7/5,台北二,芒果 金煌,28.5,17.9,9.6,18.4,"7,426"
2015/7/7,台北二,芒果 金煌,29,20.7,11.9,20.6,"7,475"
2015/7/8,台北二,芒果 金煌,28.8,22.3,16.3,22.4,"7,129"
2015/7/9,台北二,芒果 金煌,30.6,19.9,11.4,20.3,"6,516"
2015/7/10,台北二,芒果 金煌,28.7,17.6,7.6,17.8,"7,044"
2015/7/11,台北二,芒果 金煌,26.7,17.8,5.5,17.1,"9,817"
2015/7/12,台北二,芒果 金煌,29.1,19.2,11.6,19.7,"5,783"
2015/7/14,台北二,芒果 金煌,33.1,21.6,10.8,21.8,"5,679"
2015/7/15,台北二,芒果 金煌,33.7,25,11.6,24,"8,522"
2015/7/16,台北二,芒果 金煌,33,26.3,19.1,26.2,"5,745"
2015/7/17,台北二,芒果 金煌,33.4,24,14.6,24,"5,459"
2015/7/18,台北二,芒果 金煌,35.7,26.1,15.6,25.9,"5,976"
2015/7/19,台北二,芒果 金煌,32.4,24.2,13.8,23.8,"8,152"
2015/7/21,台北二,芒果 金煌,33.5,23.1,11.4,22.9,"7,587"
2015/7/22,台北二,芒果 金煌,33.5,23.4,15.7,23.9,"5,796"
2015/7/23,台北二,芒果 金煌,33.7,23.8,12.2,23.5,"6,575"
2015/7/24,台北二,芒果 金煌,37,24.2,12.8,24.5,"6,379"
2015/7/25,台北二,芒果 金煌,32.5,24.8,13.2,24,"9,953"
2015/7/26,台北二,芒果 金煌,31,22.8,10.9,22.1,"8,004"
2015/7/28,台北二,芒果 金煌,36.7,24.4,14.9,24.9,"8,691"
2015/7/29,台北二,芒果 金煌,37.9,27.8,16.8,27.6,"7,560"
2015/7/30,台北二,芒果 金煌,38.5,27.8,14.8,27.3,"6,685"
2015/7/31,台北二,芒果 金煌,33.6,23.2,12.1,23.1,"7,525"
2015/8/1,台北二,芒果 金煌,35.2,26.8,15.6,26.2,"8,384"
2015/8/2,台北二,芒果 金煌,36,23.9,13.2,24.2,"12,130"
2015/8/4,台北二,芒果 金煌,38.4,26,12.9,25.9,"9,261"
2015/8/5,台北二,芒果 金煌,39.3,27.9,16.1,27.9,"6,872"
2015/8/6,台北二,芒果 金煌,35.4,29,20.1,28.5,"6,216"
2015/8/7,台北二,芒果 金煌,40.3,32,16.3,30.5,"6,140"
2015/8/8,台北二,芒果 金煌,35.1,23.8,10.9,23.5,"6,382"
2015/8/9,台北二,芒果 金煌,33.3,24.9,14.4,24.5,"4,044"
2015/8/11,台北二,芒果 金煌,37.4,26.7,12.7,26,"4,662"
2015/8/12,台北二,芒果 金煌,39,31.4,20,30.6,"3,030"
2015/8/13,台北二,芒果 金煌,45.4,37.4,23,36.1,"2,069"
2015/8/14,台北二,芒果 金煌,58.9,33.3,24.1,36.6,"3,564"
2015/8/15,台北二,芒果 金煌,71.6,37.3,15,39.7,"2,459"
2015/8/16,台北二,芒果 金煌,69.3,37.8,18.8,40.3,"2,069"
2015/8/18,台北二,芒果 金煌,63.9,34.1,21.7,37.6,"2,879"
2015/8/19,台北二,芒果 金煌,53.6,31.1,14,32.2,"1,668"
2015/8/20,台北二,芒果 金煌,40,32.6,12.5,30.1,990
2015/8/21,台北二,芒果 金煌,45,34.1,12.6,32,610
2015/8/22,台北二,芒果 金煌,45.3,30.4,13.5,30,"1,252"
2015/8/23,台北二,芒果 金煌,35,24.9,10.9,24.1,209
2015/8/25,台北二,芒果 金煌,45,39.1,13.9,35.2,786
2015/8/26,台北二,芒果 金煌,41.8,34.6,11.7,31.5,498
2015/8/27,台北二,芒果 金煌,39.2,32.7,19.6,31.4,"1,251"
2015/8/28,台北二,芒果 金煌,30,19.9,13.2,20.6,475
2016/4/1,台北二,芒果 金煌,80,77.9,72,77.1,84
2016/4/2,台北二,芒果 金煌,91.8,70.3,47.9,70.1,188
2016/4/3,台北二,芒果 金煌,74.7,43.7,38.4,48.8,92
2016/4/6,台北二,芒果 金煌,67.4,58.6,42.8,57.2,375
2016/4/7,台北二,芒果 金煌,70,65,60,65,12
2016/4/8,台北二,芒果 金煌,85,77.5,70,77.5,12
2016/4/12,台北二,芒果 金煌,77.6,59.4,44.9,60.2,178
2016/4/13,台北二,芒果 金煌,62,60.6,45,57.8,24
2016/4/14,台北二,芒果 金煌,50,48.8,35,46.3,24
2016/4/15,台北二,芒果 金煌,27,27,25.6,26.7,42
2016/4/16,台北二,芒果 金煌,35,32.5,30.2,32.5,102
2016/4/17,台北二,芒果 金煌,104.9,66.6,43.2,69.6,84
2016/4/19,台北二,芒果 金煌,116.6,78.9,46.1,79.9,97
2016/4/20,台北二,芒果 金煌,70.4,50.5,32.9,51,516
2016/4/21,台北二,芒果 金煌,51.2,40.1,28.3,40,252
2016/4/23,台北二,芒果 金煌,120.4,51.2,39,62.6,156
2016/4/24,台北二,芒果 金煌,90,70.7,37.4,67.9,85
2016/4/26,台北二,芒果 金煌,96,83.5,53.9,80,156
2016/4/27,台北二,芒果 金煌,64,55,40,53.8,150
2016/4/28,台北二,芒果 金煌,95.7,44.9,35.5,53.2,216
2016/4/29,台北二,芒果 金煌,87.6,46.3,36.7,52.6,179
2016/4/30,台北二,芒果 金煌,98.3,59.4,38.3,63,270
2016/5/1,台北二,芒果 金煌,118.9,60,47.4,69.2,161
2016/5/3,台北二,芒果 金煌,73.5,49.8,39.5,52.5,144
2016/5/4,台北二,芒果 金煌,97,57.4,42.9,62.4,308
2016/5/5,台北二,芒果 金煌,90.6,75.7,58.3,75.2,268
2016/5/6,台北二,芒果 金煌,117.4,71.6,51.5,76.8,310
2016/5/7,台北二,芒果 金煌,103.2,76.6,38.8,74.4,485
2016/5/8,台北二,芒果 金煌,82.1,52.8,34,54.9,164
2016/5/10,台北二,芒果 金煌,119.3,83.4,63.8,86.7,126
2016/5/11,台北二,芒果 金煌,126.2,62.2,47.7,72.1,386
2016/5/12,台北二,芒果 金煌,108.7,80.7,69.6,84.1,168
2016/5/13,台北二,芒果 金煌,94.5,66.8,47.1,68.4,315
2016/5/14,台北二,芒果 金煌,130,79.8,51,84,502
2016/5/15,台北二,芒果 金煌,119.6,68.4,48.2,74.6,566
2016/5/17,台北二,芒果 金煌,109.3,74.3,55.5,77.5,795
2016/5/18,台北二,芒果 金煌,99.9,65.9,42,67.9,"1,622"
2016/5/19,台北二,芒果 金煌,114.4,78.2,47.4,79.3,"1,005"
2016/5/20,台北二,芒果 金煌,102.1,69.5,40.5,70.2,"1,560"
2016/5/21,台北二,芒果 金煌,97.7,50.1,29.2,55.4,"2,176"
2016/5/22,台北二,芒果 金煌,93.5,57.4,30.2,59.2,"1,534"
2016/5/24,台北二,芒果 金煌,94.8,63.6,18.7,60.8,367
2016/5/25,台北二,芒果 金煌,92,61.2,29,60.9,769
2016/5/26,台北二,芒果 金煌,98.4,61.5,34.1,63.4,732
2016/5/27,台北二,芒果 金煌,89.6,50.3,20.5,52.2,"1,381"
2016/5/28,台北二,芒果 金煌,86.3,56.1,31,57.1,"1,097"
2016/5/29,台北二,芒果 金煌,85,59.7,25.6,57.9,765
2016/5/31,台北二,芒果 金煌,77.8,35.1,11,38.8,"1,391"
2016/6/1,台北二,芒果 金煌,86.3,58.6,20.4,56.5,"1,042"
2016/6/2,台北二,芒果 金煌,80,69.9,39.2,65.8,"1,097"
2016/6/3,台北二,芒果 金煌,85,53.5,23.5,53.8,"1,901"
2016/6/4,台北二,芒果 金煌,90.7,51.4,15.9,52.2,"1,941"
2016/6/5,台北二,芒果 金煌,65.7,25,12.3,30.6,"1,344"
2016/6/7,台北二,芒果 金煌,103.6,44.2,19.9,51.2,"1,412"
2016/6/8,台北二,芒果 金煌,117,69.6,26,70.4,"1,190"
2016/6/9,台北二,芒果 金煌,111.1,51.9,16.9,56.8,"1,279"
2016/6/12,台北二,芒果 金煌,107.9,61.5,17,61.9,"1,576"
2016/6/14,台北二,芒果 金煌,101.7,56.2,26,59.3,"1,118"
2016/6/15,台北二,芒果 金煌,95.4,40.4,17.7,46.9,567
2016/6/16,台北二,芒果 金煌,104.4,69.4,26.3,67.8,"1,197"
2016/6/17,台北二,芒果 金煌,103.4,71,36.4,70.6,"1,660"
2016/6/18,台北二,芒果 金煌,97.7,61,25.7,61.3,"2,456"
2016/6/19,台北二,芒果 金煌,87.1,52.5,20,52.9,"2,907"
2016/6/21,台北二,芒果 金煌,86.5,49.7,31.1,53.4,"2,240"
2016/6/22,台北二,芒果 金煌,72.7,55.4,30.8,53.9,"1,546"
2016/6/23,台北二,芒果 金煌,91.4,47.6,29.3,52.7,706
2016/6/24,台北二,芒果 金煌,70.4,55.1,27.9,52.7,"1,946"
2016/6/25,台北二,芒果 金煌,58.8,43.3,26.9,43.1,"2,208"
2016/6/26,台北二,芒果 金煌,61.8,38.7,22.6,40.1,"1,638"
2016/6/28,台北二,芒果 金煌,71.7,34.5,22.8,39.6,"2,102"
2016/6/29,台北二,芒果 金煌,74.6,46.9,31.5,49.4,"2,307"
2016/6/30,台北二,芒果 金煌,72.6,39.1,26.6,43.3,"2,891"
2016/7/1,台北二,芒果 金煌,81.5,52.4,31.1,54,"2,621"
2016/7/2,台北二,芒果 金煌,82,48.5,30.4,51.6,"4,435"
2016/7/3,台北二,芒果 金煌,83.5,53.2,34.8,55.6,"5,381"
2016/7/5,台北二,芒果 金煌,91,58,39,60.8,"3,238"
2016/7/6,台北二,芒果 金煌,83.7,55.4,38.6,57.7,"3,494"
2016/7/7,台北二,芒果 金煌,88.1,63.8,40.6,64,"2,850"
2016/7/8,台北二,芒果 金煌,84.9,62.4,49.8,64.3,"2,626"
2016/7/9,台北二,芒果 金煌,91.2,60.8,45.7,63.9,"3,781"
2016/7/10,台北二,芒果 金煌,77,52.2,37.7,54.3,"3,894"
2016/7/12,台北二,芒果 金煌,73.5,50.7,38.2,52.8,"3,543"
2016/7/13,台北二,芒果 金煌,74.9,59.5,36.4,58,"3,027"
2016/7/14,台北二,芒果 金煌,75.8,57,27,54.8,"2,214"
2016/7/15,台北二,芒果 金煌,99.3,81.3,47.9,78.2,"1,032"
2016/7/16,台北二,芒果 金煌,90,54.4,38.6,58.4,"3,255"
2016/7/17,台北二,芒果 金煌,104.4,60,35.5,64,"3,896"
2016/7/19,台北二,芒果 金煌,112.8,64,34.7,67.9,"3,252"
2016/7/20,台北二,芒果 金煌,110.5,77.6,49.7,78.6,"1,641"
2016/7/21,台北二,芒果 金煌,107.3,74.3,47.8,75.6,"2,922"
2016/7/22,台北二,芒果 金煌,93.2,68.9,46.9,69.3,"6,508"
2016/7/23,台北二,芒果 金煌,83.8,64,33.8,61.9,"6,352"
2016/7/24,台北二,芒果 金煌,80.3,58.1,44.1,59.8,"5,499"
2016/7/26,台北二,芒果 金煌,90.4,64.8,45.3,66,"3,738"
2016/7/27,台北二,芒果 金煌,99.6,76.1,50.4,75.7,"2,186"
2016/7/28,台北二,芒果 金煌,110.5,82.3,58.5,83.2,"1,771"
2016/7/29,台北二,芒果 金煌,106.8,86.1,62.2,85.4,"2,208"
2016/7/30,台北二,芒果 金煌,101.2,80.7,64.1,81.5,"3,386"
2016/7/31,台北二,芒果 金煌,100.8,84.2,59.6,82.6,"4,746"
2016/8/2,台北二,芒果 金煌,108.8,86.9,64.3,86.8,"4,146"
2016/8/3,台北二,芒果 金煌,110.6,91,65,89.7,"2,655"
2016/8/4,台北二,芒果 金煌,121.2,91.2,71.1,93.2,"1,638"
2016/8/5,台北二,芒果 金煌,109.5,95.2,72.2,93.5,"1,572"
2016/8/6,台北二,芒果 金煌,111.5,85.5,66.6,86.9,"2,492"
2016/8/7,台北二,芒果 金煌,118.2,91.7,69.2,92.5,"1,944"
2016/8/9,台北二,芒果 金煌,126.7,108.9,77.8,106.2,"1,652"
