機構名稱,縣市,行政區,地址全址,特約服務項目,機構電話,電子郵件,機構負責人姓名
中化銀髮事業股份有限公司附設臺北市私立中化銀髮居家式服務類長期照顧服務機構,臺北市,士林區,臺北市士林區舊佳里中山北路5段699巷1號1樓,居家服務,02-27970880#208,rainbow@ccpc.com.tw,王謝怡貞
社團法人中國家庭教育協進會附設臺北市私立敬老居家式服務類長期照顧服務機構,臺北市,中山區,臺北市中山區中山里松江路131之12號6樓,居家服務,02-25090266,chinesehomeservice@yahoo.com.tw,吳逸秋
社團法人中華民國士林靈糧堂社會福利協會附設臺北市私立安馨居家式服務類長期照顧服務機構,臺北市,士林區,臺北市士林區富光里延平北路五段83巷28弄11號,居家服務,02-28110515,homeservice@slsc.org.tw,劉群茂
財團法人台北市立心慈善基金會附設臺北市私立立心居家式服務類長期照顧服務機構,臺北市,萬華區,臺北市萬華區頂碩里艋舺大道120巷39弄3號2樓,居家服務,02-23361555#21,lishin.home@gmail.com,洪金桐
財團法人獎卿護理展望基金會私立臺北居家長照機構,臺北市,大安區,臺北市大安區龍坡里和平東路一段216號,居家服務,02-23646040#24,ccfhcn@yahoo.com.tw,王仁宏
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,居家服務,02-23637794,rct@seed.net.tw,董光世
社團法人台北市家庭照顧者關懷協會附設臺北市私立家協居家式服務類長期照顧服務機構,臺北市,大安區,臺北市大安區黎孝里和平東路三段232號3樓,居家服務,02-27398737#17,service@carer.org.tw,盧雪華
財團法人宜蘭縣私立力麗社會福利慈善事業基金會附設臺北市私立力麗居家式服務類長期照顧服務機構,臺北市,中正區,臺北市中正區南福里和平西路一段107號,居家服務,02-23938326,liyvonne@leadingage.com.tw,郭銓慶
社團法人中華民國紅心字會附設臺北市私立紅心居家式服務類長期照顧服務機構,臺北市,中正區,臺北市中正區黎明里重慶南路一段43號3樓之2,居家服務,02-23700267,drolysun@gmail.com,劉緒倫
臺北市立聯合醫院居家式服務類長期照顧服務機構,臺北市,大同區,臺北市大同區玉泉里鄭州路145號,居家服務,28353456-6380,B5646@tpech.gov.tw,蕭勝煌
財團法人恆安社會福利慈善事業基金會附設臺北市私立恆安居家式服務類長期照顧服務機構,臺北市,大安區,臺北市大安區群賢里和平東路二段295號12樓,居家服務,02-2333-1955,hanganhomecare@gmail.com,胡世賢
臺北市私立仁群居家長照機構,臺北市,中山區,臺北市中山區下埤里民族東路512巷12號1樓,居家服務,02-25016299,kindhomeservice@gmail.com,劉昱森
財團法人天主教失智老人社會福利基金會附設臺北市私立聖若瑟居家式服務類長期照顧服務機構,臺北市,萬華區,臺北市萬華區保德里德昌街119號,居家服務,02-23098728,s8910009@gmail.com,鍾安住
有限責任臺北市育坊社區照護勞動合作社私立育坊居家長照機構,臺北市,北投區,臺北市北投區中庸里大同街299號,居家服務,02-28957520,yfcare.coop@gmail.com,錢素明
社團法人愛福家協會附設新北市私立愛福家居家式服務類長期照顧服務機構,新北市,板橋區,新北市板橋區雙十路二段217號4樓,居家服務,02-22500177,hr01@ilive.org.tw,涂林德媛
財團法人天下為公社會福利慈善事業基金會附設新北市私立天下為公居家式服務類長期照顧服務機構,新北市,汐止區,新北市汐止區保安里大同路三段423號1樓,居家服務,02-86488388,wba@hangan.org,胡世賢
新北市私立旺福居家長照機構,新北市,三重區,新北市三重區溪美里福隆路48號1樓,居家服務,02-28571526,wfservice2@gmail.com,黃雅萍
新北市私立全曜居家式服務類長期照顧服務機構,新北市,三重區,新北市三重區長江里長元街100之2號1、2樓,居家服務,02-29722060,chuanyao10704@gmail.com,黃明聖
臺北市私立安歆居家式服務類長期照顧服務機構,臺北市,中山區,臺北市中山區興亞里松江路50號3樓,居家服務,02-25372586,crcanhsin@gmail.com,余建華
福田居家有限公司私立福田居家長照機構,臺北市,信義區,臺北市信義區松光里忠孝東路5段492巷2號2樓,居家服務,02-27270065,futain@futaincare.com.tw,林永峰
臺北市私立大心居家長照機構,臺北市,萬華區,臺北市萬華區富民里康定路348號2f-1,居家服務,02-23390179,284vup10761180131@gmail.com,趙重凱
社團法人台灣多元社會福利協會私立多福居家長照機構,臺北市,北投區,臺北市北投區溫泉里溫泉路68之10號,居家服務,02-28927001,dofuhs@gmail.com,林政緯
私立愛吾愛居家長照機構,臺北市,萬華區,臺北市萬華區大理街171號2樓201室,居家服務,02-23087286,n01d.iwoi@gmail.com,許惠容
臺北市私立安歆松江社區長照機構,臺北市,中山區,臺北市中山區中央里松江路50號3樓,喘息服務,02-25371116,yaru42@gmail.com,張維庭
臺北市私立快樂之家社區式服務類長期照顧服務機構(家庭托顧),臺北市,北投區,臺北市北投區溫泉里光明路240之4號,家庭托顧服務,02-28947640,ab0935220571@gmail.com,王桂英
臺北市私立大千之家社區式服務類長期照顧機構(家庭托顧),臺北市,北投區,臺北市北投區中庸里雙全街48巷5號,家庭托顧服務,929314190,naro@ms66.url.com.tw,李元傑
臺北市私立千千之家社區式服務類長期照顧服務機構(家庭托顧),臺北市,北投區,臺北市北投區永欣里同德街27巷16號,家庭托顧服務,02-28722140,naro@ms66.url.com.tw,彭麗蓉
臺北市私立台大老人長期照顧中心(養護型),臺北市,松山區,臺北市松山區敦化里敦化南路一段7號,喘息服務,02-25792816,tai_da_168@yahoo.com.tw,鄭淑卿
臺北市私立群英老人長期照顧中心(養護型),臺北市,松山區,臺北市松山區敦化里敦化南路一段7號4樓,喘息服務,02-25791400,tai_da_168@yahoo.com.tw,鄭淑芬
臺北市私立中山老人長期照顧中心(養護型),臺北市,萬華區,臺北市萬華區菜園里峨眉街124號1樓,喘息服務,02-23759590,fen.lan8888@gmail.com,趙芬蘭
新北市私立皇冠老人養護中心,新北市,新店區,新北市新店區明德里民權路60號4樓,喘息服務,02-291571112,minilo1688@yahoo.com.tw,黃伯超
臺北市私立倚青園老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區永明里義理街63巷4弄7、11之1~3號1樓,喘息服務,02-28283533,yiqingyuan112@gmail.com,劉昱森
臺北市私立豪門老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區大同里北投大業路452巷2號6-9F,喘息服務,228954492,noahsang@gmail.com,張妤安
臺北市私立貴族老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區大同里北投大業路452巷2號2-5f,喘息服務,02-28965555,noahsang@gmail.com,桑予群
臺北市私立康壯老人長期照顧中心(養護型),臺北市,松山區,臺北市松山區吉祥里八德路四段203號.205號,喘息服務,02-27686697,yao4343@yahoo.com.tw,李碧欗
臺北市私立晨欣老人長期照顧中心(養護型),臺北市,中山區,臺北市中山區集英里中山北路2段96巷19號3樓,喘息服務,02-25212226,chenxin96193@gmail.com,李政勳
臺北市私立高德老人長期照顧中心(養護型),臺北市,北投區,臺北市北投區清江里磺港路156號,喘息服務,02-28982418,nkd28982418@gmail.com,鄭人豪
頤園護理之家,臺北市,士林區,臺北市士林區重慶北路4段138、140、142號1-4樓,喘息服務,2811-9666,eyuan28119666@gmail.com,耿瑛鎂
新北市私立慈美護理之家,新北市,中和區,新北市中和區中山路2段315巷2號4樓、317號6樓,喘息服務,02-22467727,juliaguo2670@yahoo.com.tw,張美素
遠東護理之家,新北市,新店區,新北市新店區民權路129號2樓、131號2樓、133號2樓及129號4床,喘息服務,02-22186820,nurse1292@gmail.com,羅德蘭
宏十字護理之家,新北市,深坑區,新北市深坑區北深路三段99至105號7、8樓,喘息服務,02-26626893,A49877920@gmail.com,張麗英
吉翔護理之家,臺北市,大同區,臺北市大同區甘州街55號4、7、8樓,喘息服務,02 25520553,gishean@yahoo.com.tw,羅春月
寶興護理之家,新北市,新店區,新北市新店區寶興路39號2樓至4樓、41號2樓至5樓,喘息服務,02-29109980,bcnh2015@gmail.com,廖麗如
新北市私立至傑護理之家,新北市,板橋區,新北市板橋區和平路14巷9號1-2樓、9之1號1樓,喘息服務,02-89641787,a1952000@yahoo.com.tw,黃惠珍
新光醫療財團法人附設新光居家護理所,臺北市,士林區,臺北市士林區福佳里文昌路95號,專業照護服務,02-28332211#2600,R000264@ms.skh.org.tw,張芬娥
博仁綜合醫院附設居家護理所,臺北市,松山區,臺北市松山區復勢里光復北路66號,專業照護服務,02-25782518#2300,pojenghhomecare@gmail.com,曾月盃
臺北市獨立型態南港居家護理所,臺北市,南港區,臺北市南港區聯成里東新街13巷7號,專業照護服務,02-27856997,nancybear1314@gmail.com,施人文
財團法人獎卿護理展望基金會大台北居家護理所,臺北市,大安區,臺北市大安區龍坡里和平東路一段216號,專業照護服務,02-23646040#17,ccfhcn@yahoo.com.tw,王金蓮
基督復臨安息日會醫療財團法人臺安醫院附設居家護理所,臺北市,松山區,臺北市松山區民福里八德路二段424號,專業照護服務,02-27718151#2831,130679@tahsda.org.tw,夏姿慧
三軍總醫院松山分院附設民眾診療服務處附設居家護理所,臺北市,松山區,臺北市松山區龍田里健康路131號,專業照護服務,02-27617086,avid.nemuca@msa.hinet.net,張郁敏
國泰醫療財團法人附設居家護理所,臺北市,大安區,臺北市大安區敦煌里仁愛路四段280號,專業照護服務,02-27082121#3956,273118@cgh.org.tw,洪怡蘋
宜寧居家護理所,臺北市,士林區,臺北市士林區前港里承德路四段235號9樓,專業照護服務,02-28822382,karenchang0913@gmail.com,張肇仙
臺北榮民總醫院,臺北市,北投區,臺北市北投區永欣里石牌路二段201號,專業照護服務,228712121,huangms@vghtpe.gov.tw,陳威明
包子居家護理所,臺北市,中山區,臺北市中山區通明新生北路三段82巷23號,專業照護服務,02-25931596,Bread1119@gmail.com,黃獻賢
財團法人臺灣省私立臺北仁濟院附設仁濟醫院附設居家護理所,臺北市,萬華區,臺北市萬華區青山里廣州街243號,專業照護服務,23021133,homecare@tjci.org.tw,陳麗蘋
春暖居家護理所,新北市,汐止區,新北市汐止區保長里大同路二段458號2樓,專業照護服務,02-26481736,yunjil334889@gmail.com,蔡芸婕
吉馨安居家護理所,臺北市,大同區,臺北市大同區甘州路51號4樓,專業照護服務,0921-066248,sinannurse@gmail.com,黃湘茹
合康居家護理所,臺北市,萬華區,臺北市萬華區頂碩里西藏路170號,專業照護服務,,biglongtoday0706@gmail.com,鄭歆悅
安歆居家護理所,臺北市,中山區,臺北市中山區松江路50號3樓,專業照護服務,02-25372586,crcanhsin@gmail.com,余建華
臺北市獨立型態成福居家護理所,臺北市,南港區,臺北市南港區百福里成福路204號,專業照護服務,02-27850802,chen_41@yahoo.com.tw,張美娟
永昱居家呼吸照護所,臺北市,大同區,臺北市大同區玉泉里南京西路155巷28號,專業照護服務,02-25560795,mg1314520@gmail.com,林育如
臺北市立萬芳醫院-委託臺北醫學大學辦理,臺北市,文山區,臺北市文山區興光里興隆路三段111號,專業照護服務,02-29307930#1683,90236@w.tmu.edu.tw,劉燦宏
臺北市立聯合醫院(中興院區),臺北市,大同區,臺北市大同區玉泉里鄭州路145號,專業照護服務,02-25523234#3253,B2141@tpech.gov.tw,蕭勝煌
適健復健診所,臺北市,大安區,臺北市大安區建倫里忠孝東路四段166號,專業照護服務,02-87717039,scrc.service@gmail.com,陳昭蓉
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市,中山區,臺北市中山區中山北路二段92號,專業照護服務,02-25604176,mwang@mmh.org.tw,張文瀚
臺北市立聯合醫院(忠孝院區),臺北市,南港區,臺北市南港區中南里同德路87號,專業照護服務,02-27861288#8281,B0430@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院(仁愛院區),臺北市,大安區,臺北市大安區仁慈里仁愛路四段10號,專業照護服務,02-27093600#3113,A0019@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院(陽明院區),臺北市,士林區,臺北市士林區岩山里雨聲街105號,專業照護服務,02-28353456,B1882@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院(和平婦幼院區),臺北市,中正區,臺北市中正區社寮中華路二段33號,專業照護服務,02-23889595#8417,B1049@tpech.gov.tw,蕭勝煌
臺北市立聯合醫院(林森中醫院區),臺北市,中山區,臺北市中山區健民林森北路530號,專業照護服務,02-25916681#1320,A4430@tpech.gov.tw,蕭勝煌
好日子心理治療所,新北市,三重區,新北市三重區田心里正義北路227號,專業照護服務,0968-063864,chenwin888@gmail.com,陳映程
財團法人私立台北醫學大學附設醫院附設居家護理所,臺北市,信義區,臺北市信義區莊敬路330號5樓,營養餐飲服務,02-27372181#3938,tmchchn@h.tmu.edu.tw,陳麗絹
大東健保藥局,臺北市,士林區,臺北市士林區仁勇里大東路86之4號,專業照護服務,02-28838940,newly_beer@yahoo.com.tw,郭雅芝
柏愛藥局,新北市,永和區,新北市永和區復興里博愛街26號,專業照護服務,02-89285609,boaipharmacy.201306@gmail.com,鄭文柏
社團法人臺北市物理治療師公會,臺北市,松山區,臺北市松山區新益里八德路二段374號,專業照護服務,02-87732464,taipeipt0305@gmail.com,林素雲
安健維康物理治療所,臺北市,松山區,臺北市松山區新東里南京東路四段183號,專業照護服務,02-27177600,ogeypt@gmail.com,黃博靖
同仁物理治療所,新北市,土城區,新北市土城區埤林里中央路四段127號,專業照護服務,02-80763952#312,ida-chang@yahoo.com.tw,張秀娟
跑居家物理治療所,臺北市,士林區,臺北市士林區葫東里重慶北路四段248號,專業照護服務,0907-091302,a770222boy@gmail.com,張沅輔
哈佛物理治療所,臺北市,萬華區,臺北市萬華區西圓路二段362號7樓,專業照護服務,02-82588536,jeffreytseng91@yahoo.com,曾致傑
好物理治療所,臺北市,文山區,臺北市文山區萬隆里萬隆街64號,專業照護服務,,imio1688@gmail.com,林佑青
適悅物理治療所,臺北市,中山區,臺北市中山區龍江路114巷1號,專業照護服務,,j3677296@gmail.com,丁俊文
勁緻物理治療所,臺北市,中山區,臺北市中山區安民樂群三路71號,專業照護服務,02-85025822,zenithptc@gmail.com,邱炫偉
社團法人臺灣職能學會,臺北市,中正區,臺北市中正區德義博愛路9號,專業照護服務,02-23820103,otaroc.taipei@gmail.com,張玲慧
大心居家職能治療所,臺北市,士林區,臺北市士林區天祿里中山北路六段754巷22之1號,專業照護服務,02-77518057,bigheartot@gmail.com,彭紹宇
壽合居家職能治療所,臺北市,文山區,臺北市文山區興家里興隆路三段221巷4弄14號,專業照護服務,0933-004397,ensonwhj@yahoo.com.tw,吳鴻章
新康居家職能治療所,臺北市,士林區,臺北市士林區葫東里重慶北路四段248號,專業照護服務,02-28164533#312,newhealthot@gmail.com,洪于婷
好朋友居家職能治療所,臺北市,中山區,臺北市中山區撫順街25號9樓之4,專業照護服務,02-89136000,hami610@gmail.com,陳偉修
孝恩居家職能治療所,臺北市,萬華區,臺北市萬華區興德里富民路145巷15弄11號,專業照護服務,0968-999365,mengjen88@gmail.com,魏孟振
惠璿諮詢中心,臺北市,信義區,臺北市信義區智誠忠孝東路五段372巷29弄15號,專業照護服務,02-23457740,dietitian.shan@gmail.com,陳惠櫻
台灣聽力語言學會,臺北市,中山區,臺北市中山區健民雙城街4巷2號,專業照護服務,02-25996095,slha.meeting@gmail.com,洪菱濃
財團法人獎卿護理展望基金會私立臺北居家長照機構,臺北市,大安區,臺北市大安區龍坡里和平東路一段216號,喘息服務,02-23646040#24,ccfhcn@yahoo.com.tw,王仁宏
C+-財團法人台北市中華基督教浸信會慈光堂,臺北市,士林區,臺北市士林區翠山里中社路一段43巷3號,喘息服務,02-28412290,shoujen2318@gmail.com,柴漢熙
財團法人天主教聖母聖心會,臺北市,中正區,臺北市中正區中山北路一段2號,喘息服務,02-23028934,marie_la_frat@yahoo.com,王秀枝
社團法人臺北市向日葵慈善協會,臺北市,松山區,臺北市松山區東勢里南京東路四段133巷7弄7號,喘息服務,02-87700650,bnwdh12a@gmail.com,蔡秀琴
財團法人私立台北仁濟院(大同區),臺北市,萬華區,臺北市萬華區廣州街200號,營養餐飲服務,,chieh.chi@tjci.org.tw,林明成
財團法人私立台北仁濟院(萬華區),臺北市,萬華區,臺北市萬華區廣州街200號,營養餐飲服務,,hanwei.chen@tjci.org.tw,林明成
社團法人新北市臨床心理師公會,新北市,永和區,新北市永和區文化里博愛街20巷1號,專業照護服務,02-89253044,psy2153@gmail.com,陳映程
社團法人台灣愛鄰社區服務協會(大安區),臺北市,大安區,臺北市大安區龍門里和平東路二段24號11樓,營養餐飲服務,02-23692674,peter.chu@breadoflife.taipe,莊碧明
臺北市永昌長青會,臺北市,中正區,臺北市中正區永昌里寧波西街181巷24號,營養餐飲服務,02-23071068,tyc.ch@msa.hinet.net,林萬出
生通股份有限公司,臺北市,中山區,臺北市中山區民權東路一段55號,交通接送服務,02-25997667,doreen@wcarsharing.com,陳金棍
福倫交通股份有限公司,臺北市,信義區,臺北市信義區松隆路337號1樓,交通接送服務,02-27635888#18,successtaxi@gmail.com,吳俊德
康健小客車租賃有限公司,新北市,三峽區,新北市三峽區中正路一段26號,交通接送服務,02-26718598,Kj.service6155@gmail.com,陳思妤
泰林中西藥局,新北市,泰山區,新北市泰山區泰林路2段206號,專業照護服務,02-22978367,ed7chen@gmail.com,陳昭元
百齡診所附設護理之家,臺北市,士林區,臺北市士林區葫東里重慶北路4段187號3-8樓,喘息服務,02 28113113,nursinghome2009@hotmail.com,陳雅玲
財團法人一粒麥子社會福利慈善事業基金會(中正國宅社區照顧關懷據點),臺北市,萬華區,臺北市萬華區青年路52號1樓之2,喘息服務,02-2309-0660,liz@wheat.org.tw,呂信雄
C+ 社團法人台北市向日葵慈善協會,臺北市,松山區,臺北市松山區東勢里南京東路4段133巷7弄9號1樓,喘息服務,8770-6501 #17,respite.sf@gmail.com,陳四輝
國泰醫療財團法人國泰綜合醫院附設居家護理所,臺北市,大安區,臺北市大安區敦煌里仁愛路4段280號第一分館(B2F),專業照護服務,02-27082121*3956、3959,273118@cgh.org.tw,洪怡蘋
新北市永和區得和社區發展協會(社照C),新北市,永和區,新北市永和區永元里秀朗路2段24巷35號,巷弄長照站,2924-7766、2924-9067、0918-161-479,deartoad333@Yahoo.com.tw,呂卓春英
新北市永和區秀朗社區發展協會(社照C),新北市,永和區,新北市永和區秀朗里成功路1段20號-1,巷弄長照站,02-29277654,Entri1688@gmail.com,蔡輝雄
新北市板橋區親子服務協會(社照C),新北市,板橋區,新北市板橋區中正里中正路413巷2弄26號B1,巷弄長照站,2953-5919,ccchungdaw@mohw.gov.tw,黃秀美
新北市板橋區板新社區發展協會(社照C),新北市,板橋區,新北市板橋區西安里民生路二段89號之1號,巷弄長照站,2953-4297,chuma0702@gmail.com,黃秀美
新北市板橋溪崑關懷慈善會(溪福)(社照C),新北市,板橋區,新北市板橋區溪福里金門街366巷7號,巷弄長照站,0932-142503,ben1040@kimo.com,陳淑美
東南社區發展協會(社照c),新北市,林口區,新北市林口區東勢里麗園二街1巷4號,巷弄長照站,(02)26095928,seca.org@msa.hinet.net,薛純良
社團法人新北市社區工作者協會(社照C),新北市,貢寮區,新北市貢寮區貢寮里29巷14之一號,巷弄長照站,(02)24942772,tallest999@gmail.com,黃寧秋
財團法人新北市私立新希望基金會(社照C),新北市,新店區,新北市新店區福民里三民路151號,巷弄長照站,(02)29161575#551,topnewhope@gmail.com,吳竣皓
社團法人中華麥田關懷協會(社照C),新北市,新店區,新北市新店區明德里明德路34號,巷弄長照站,(02)29133936,wheatland1743@gmail.com,呂瑞香
社團法人新北市新店區喜樂心靈關懷協會(社照C),新北市,新店區,新北市新店區公崙里安康路1段207巷4鄰8-1號,巷弄長照站,(02)20302117,shelldon7@gmail.com,許書毓
新北市新店區玫瑰里辦公處新北市新店區玫瑰里辦公處-玫瑰里關懷據點(社照C),新北市,新店區,新北市新店區玫瑰里玫瑰路58巷18號,巷弄長照站,(02)22104558,candykuo5853@yahoo.com.tw,郭茹芬
社團法人台灣新希望社區關懷協會(社照C),新北市,蘆洲區,新北市蘆洲區中原里9鄰中正路241號3樓,巷弄長照站,922295129,chadlu247@gmail.com,葉聯邦
臺北市士林區幸福名山社區發展協會,臺北市,士林區,臺北市士林區名山里雨聲街68號,巷弄長照站,2836-6501,suling0800@gmail.com,薛群秀
臺北市士林區忠義社區發展協會,臺北市,士林區,臺北市士林區忠誠里德行東路104巷9弄8號,巷弄長照站,28310943,bn_930@mail.taipei.gov.tw,曾坤來
台灣健康社區自主發展協會,臺北市,士林區,臺北市士林區三玉里德行東路203巷2號1樓,巷弄長照站,02-28369493或0919-206-511,yunn7@hotmail.com,黃兆麟
財團法人台北市天母基督教會,臺北市,士林區,臺北市士林區天母里天玉街63.65號,巷弄長照站,02-28714742,yiinjih50@yahoo.com.tw,李俊年
財團法人新北市基督教新希望教會(百齡長青),臺北市,士林區,臺北市士林區前港里承德路4段190號4樓,巷弄長照站,982985298,rebecca401010@gmail.com,林淑萍
台北市劍橋有愛全人關懷協會,臺北市,士林區,臺北市士林區百齡里福港街244巷3號1樓,巷弄長照站,02-28820977,joan.chen1@yahoo.com.tw,呂智宏
財團法人福智慈善基金會(天母據點),臺北市,士林區,臺北市士林區蘭興里中山北路六段243號1F,巷弄長照站,02-28382503 #12,jasmine.chang33@gmail.com,賴錫源
臺北市士林海光社區發展協會,臺北市,士林區,臺北市士林區富光里延平北路5段99號,巷弄長照站,932023186,weiyuan.comm@yahoo.com.tw,廖品筑
財團法人臺北市松年長春社會福利基金會(士林),臺北市,士林區,臺北市士林區天山里中山北路七段122號3樓,巷弄長照站,02-28723425,sandy0422@hotmail.com,王淑惠
財團法人天主教遣使會-聖文生之友社區關懷據點,臺北市,士林區,臺北市士林區天山里中山北路7段134號,巷弄長照站,02-29286060#10657,ssd@cthyh.org.tw,費克強
財團法人新北市基督教新希望教會(德行據點),臺北市,士林區,臺北市士林區德行里雙溪街140號1樓,巷弄長照站,982985298,rebecca401010@gmail.com,林淑萍
臺北市天母全人關懷協會,臺北市,士林區,臺北市士林區天玉里中山北路7段81巷7樓B2,巷弄長照站,02-2874-6222#118,lovingcaretianmu0101@gmail.com,曾鼎發
財團法人臺北市華夏婦女文教基金會,臺北市,士林區,臺北市士林區岩山里至誠路1段62巷28號,巷弄長照站,02-28318025,nwltp2733@yahoo.com.tw,蘇龍華
財團法人臺北市松年長春社會福利基金會大橋教會,臺北市,大同區,臺北市大同區景星里迪化街2段65號,巷弄長照站,02-25851434,pine003@twdc.org.tw,王淑惠
社團法人中華視障安養福利協會,臺北市,大同區,臺北市大同區隆和里伊寧街37號,巷弄長照站,02-2595-2872,eyelight08@gmail.com,張復源
柴寮仔社區發展協會,臺北市,大同區,臺北市大同區民權里民權西路172號1樓,巷弄長照站,2557-1918,yunna8383163@gmail.com,林美菊
社團法人台北市歐伊寇斯OIKOS社區關懷協會,臺北市,大同區,臺北市大同區永樂里延平北路2段60巷2號1~2樓,巷弄長照站,02-23414322#603,coralpao945@gmail.com,寇張琪玫
台北市朝陽服飾材料街區發展協會,臺北市,大同區,臺北市大同區朝陽里重慶北路2段46巷6號,巷弄長照站,02-25523101,kuowei206@hotmail.com.tw,呂國維
台北市大同區大有里辦公處,臺北市,大同區,臺北市大同區大有里民樂街179號1樓,巷弄長照站,02-25577229,aliceaa8899@gmail.com,許美智
臺北市大龍峒長青協會,臺北市,大同區,臺北市大同區保安里重慶北路3段313巷25號1樓~2樓,巷弄長照站,02-25910582,jackalnogg@gmail.com,張斌脈
台北市大同區圓環社區發展協會,臺北市,大同區,臺北市大同區建功里重慶北路1段83巷37號,巷弄長照站,02-25564651,cherry480812@yahoo.com.tw,邱麗秋
中華萌愛關懷協會,臺北市,大同區,臺北市大同區蓬萊里承德路3段60號B1,巷弄長照站,02-25931138,stephen530413@gmail.com,盧瑩僡
社團法人台灣厝邊有愛關懷協會六張犁教會,臺北市,大安區,臺北市大安區黎元里臥龍街215號,巷弄長照站,23636356,lo1119@ms53.hinet.net,鄭忠仁
臺北市大安區古莊社區發展協會,臺北市,大安區,臺北市大安區古莊里6鄰羅斯福路2段81巷16弄1-2號2樓,巷弄長照站,0963-164-461,gu.zhuang@yahoo.com.tw,吳宗雄
臺北市大安區安東社區發展協會,臺北市,大安區,臺北市大安區誠安里安東街31之1號,巷弄長照站,27715532,a5532.a5532@msa.hinet.net,李有福
臺北市長立健康樂活協會,臺北市,大安區,臺北市大安區龍陣里瑞安街75號3樓,巷弄長照站,27014636,yuchuyin@yahoo.com.tw,王自立
臺北市大安區群英里辦公處,臺北市,大安區,臺北市大安區群英里四維路198巷30弄9號,巷弄長照站,2754-9339,cheng.kung2@gmail.com,石忠勝
社團法人臺北市永健長青促進協會,臺北市,大安區,臺北市大安區龍陣里瑞安街71巷5弄1號1F,巷弄長照站,2709 7719,y23250717@gmail.com,吳增友
臺北市大安區住安社區發展協會,臺北市,大安區,臺北市大安區住安里信義路4段30巷27弄24號,巷弄長照站,27550387,ou.ou4650@msa.hinet.net,歐秀珠
臺北市大安區新民炤社區發展協會,臺北市,大安區,臺北市大安區民炤里建國南路1段286巷35號1樓,巷弄長照站,961351658,lan7239@yahoo.com.tw,陳濬廷
財團法人成長文教基金會,臺北市,大安區,臺北市大安區仁慈里東豐街1號2樓,巷弄長照站,02-27000657,pc19840808@gmail.com,吳靜吉
財團法人福智慈善基金會(安和據點),臺北市,大安區,臺北市大安區光信里信義路4段265巷21弄1號1樓3號1樓,巷弄長照站,02-2701-5861,kingfisher.taiwan@mail.com,賴錫源
財團法人基督教台灣神召會,臺北市,大安區,臺北市大安區昌隆里忠孝東路3段217巷5弄8號,巷弄長照站,02-27527186,taga197010@gmail.com,陳盛煊
社團法人中華民國香柏樹長者社區關懷協會大安台電據點,臺北市,大安區,臺北市大安區大學里羅斯福路3段275號3樓,巷弄長照站,02-2363-2096#121,kunlin65@gmail.com,楊寧亞
